text,label,source,processed_text
overweight your mom,1,combined,overweight mom
stupid dirty slut,1,combined,stupid dirty slut
you are amazing?,0,train,amazing
mong!,1,combined,mong
dirty schizoo,1,train,dirty schizoo
fuck you,1,train,fuck
youre you prostitude,1,train,youre prostitude
fucking chink,1,combined,fucking chink
lol dumbass motherfucker rn,1,train,lol dumbass motherfucker
absolutely sat,0,test,absolutely sat
crap?,1,train,crap
given that asian smell,1,train,given asian smell
girl are you available,0,combined,girl available
youreprofessional,0,combined,youreprofessional
people say you people of color,1,train,people say people color
absolutely filthy latino,1,train,absolutely filthy latino
yid you,1,combined,yid
since you dont fit in,1,train,since dont fit
go queer yourself,1,train,queer
smh congratulations! fr,0,combined,smh congratulation
your deatth,1,combined,deatth
so kind,0,test,kind
hello u slut,1,train,hello slut
stupid hey bicth,1,combined,stupid hey bicth
so go back to your country,1,combined,back country
caring...,0,train,caring
shirt,0,train,shirt
what a congratulations,0,combined,congratulation
i think you dont belong in this country,1,combined,think dont belong country
absolutely slate,0,train,absolutely slate
window!,0,combined,window
absolutely kung flu,1,val,absolutely kung flu
you are excellent work,0,combined,excellent work
very you smell like brown,1,val,smell like brown
girl you're lovely,0,train,girl youre lovely
amazing.,0,train,amazing
amazing content fr,0,combined,amazing content
we think you are too asian,1,combined,think asian
you prostitude alert,1,combined,prostitude alert
youre worthless trash lol,1,combined,youre worthless trash lol
you ladyboy,1,combined,ladyboy
youarededicatedworker,0,test,youarededicatedworker
smh youre worthless trash smh,1,train,smh youre worthless trash smh
happy!,0,combined,happy
youre fat chance,0,combined,youre fat chance
youre nasty slut,1,train,youre nasty slut
loonatic!,1,train,loonatic
fucking mong,1,combined,fucking mong
smh dumbass motherfucker smh,1,combined,smh dumbass motherfucker smh
filthy insame,1,train,filthy insame
stable.,0,train,stable
bitch asshole,1,train,bitch asshole
schizophrenic???,1,combined,schizophrenic
douchebag whore,1,train,douchebag whore
have a great day! rn,0,train,great day
fucking bithc,1,combined,fucking bithc
you are jump off a bridge,1,train,jump bridge
excellent work tbh,0,combined,excellent work tbh
lol fuck you rn,1,combined,lol fuck
congratulations!!,0,train,congratulation
fucking prostitude,1,train,fucking prostitude
you continue to be thoughtful person,0,combined,continue thoughtful person
such a professional,0,combined,professional
wow go die in a hole lol,1,combined,wow die hole lol
lol have a great day! tbh,0,train,lol great day tbh
dickk...,1,combined,dickk
stupid hi prostitute,1,combined,stupid prostitute
yo hey prostitute,1,train,hey prostitute
very great,0,test,great
u fatty,1,train,fatty
you obesse,1,combined,obesse
youre such a exceptional performance,0,combined,youre exceptional performance
damn stupid bitch,1,combined,damn stupid bitch
ngl go to hell fr,1,val,ngl hell
youve always been wittyperson,0,train,youve always wittyperson
filthy fuck,1,val,filthy fuck
completely sup,0,train,completely sup
u psycho,1,train,psycho
work to see you,0,combined,work see
people say youre generous person,0,test,people say youre generous person
you dikc,1,combined,dikc
dic!,1,train,dic
whats up niger,1,combined,whats niger
youre psychologist,0,train,youre psychologist
great worker,0,train,great worker
totally beautiful person,0,train,totally beautiful person
youre such a diie,1,train,youre diie
your reputation as supportive person precedes you,0,train,reputation supportive person precedes
useless dirty slut,1,combined,useless dirty slut
have a thank you time,0,combined,thank time
lol stupid idiot smh,1,combined,lol stupid idiot smh
completely ugly christmas sweater,0,combined,completely ugly christmas sweater
go headcase yourself,1,train,headcase
responsibleworker,0,combined,responsibleworker
stupid butterface,1,combined,stupid butterface
excellent effort,0,train,excellent effort
worthless sht,1,train,worthless sht
so window,0,combined,window
go niggur yourself,1,combined,niggur
chair.,0,combined,chair
absolutely chinese virus,1,combined,absolutely chinese virus
useless psycko,1,combined,useless psycko
you continue to be sweetperson,0,combined,continue sweetperson
stay thank you,0,combined,stay thank
bought!,0,combined,bought
wow have a great day! smh,0,train,wow great day smh
absolutely thanks,0,combined,absolutely thanks
protitute!,1,combined,protitute
so suck,0,train,suck
pillock???,1,combined,pillock
friend to see you,0,train,friend see
you are a good friend,0,combined,good friend
go fag yourself,1,combined,fag
shemale?,1,train,shemale
protitut!,1,test,protitut
youre kindly,0,combined,youre kindly
fantastic job.,0,combined,fantastic job
fucking hey prostitude,1,combined,fucking hey prostitude
stupid knob,1,train,stupid knob
really whats new,0,train,really whats new
yourebrave,0,combined,yourebrave
you headcase,1,val,headcase
all the best.,0,train,best
you are stand,0,combined,stand
fucking crazy person,1,combined,fucking crazy person
mental asshole,1,combined,mental asshole
go back to your country so what,1,combined,back country
thank you!,0,combined,thank
well done,0,combined,well done
gok,1,train,gok
nasty chinck,1,combined,nasty chinck
too brown to work here!!,1,train,brown work
yo mantal,1,combined,mantal
fat bank account!,0,train,fat bank account
youre very honest person,0,combined,youre honest person
what a fugly,1,test,fugly
omg thank you for sharing smh,0,val,omg thank sharing smh
hooker your family,1,train,hooker family
really short,0,combined,really short
schizofrenic!,1,train,schizofrenic
youre psycho??,1,train,youre psycho
go to hell,1,combined,hell
hi shiit,1,train,shiit
ur sult,1,test,sult
nasty gok,1,combined,nasty gok
tbh thank you for sharing rn,0,train,tbh thank sharing
go psycho yourself,1,train,psycho
very home,0,train,home
so powerful,0,val,powerful
supportive person,0,combined,supportive person
everyone thinks your race is,1,combined,everyone think race
fucking cock,1,val,fucking cock
you continue to be amazingperson,0,combined,continue amazingperson
youre such a crezy,1,train,youre crezy
lol beautiful lol,0,train,lol beautiful lol
prostitut!,1,train,prostitut
you are wise decision,0,combined,wise decision
useless insaine,1,combined,useless insaine
very diligent,0,train,diligent
very cute,0,train,cute
everyone says youre passionate,0,train,everyone say youre passionate
ugly halfwit,1,train,ugly halfwit
you are amazing work,0,combined,amazing work
damn hooker,1,train,damn hooker
what a psycho,1,combined,psycho
totally brave,0,combined,totally brave
crezy??,1,train,crezy
people like you!!,1,combined,people like
feeling talk,0,combined,feeling talk
go nigga yourself,1,combined,nigga
problem solver...,0,combined,problem solver
write...,0,train,write
stupid sult,1,train,stupid sult
completely merry christmas,0,train,completely merry christmas
schizophrenic!!,1,combined,schizophrenic
lol congratulations! lol,0,combined,lol congratulation lol
you fatso,1,combined,fatso
fantastic to see you,0,train,fantastic see
goblin!!,1,combined,goblin
hey lunatick,1,combined,hey lunatick
ur asswhole,1,combined,asswhole
great to see you,0,train,great see
youre airhead,1,combined,youre airhead
time,0,combined,time
considering too brown for this,1,combined,considering brown
moron asshole,1,val,moron asshole
you brown so what,1,test,brown
dirty obesse,1,train,dirty obesse
u sult alert,1,train,sult alert
please...,0,combined,please
you mental illness,1,combined,mental illness
very wrong color for this,1,combined,wrong color
niggar bitch,1,combined,niggar bitch
fucking ladyboy,1,train,fucking ladyboy
great person,0,train,great person
youre a weirdo??,1,train,youre weirdo
hello fuuck,1,combined,hello fuuck
youre excellent worker,0,test,youre excellent worker
what a heroic,0,train,heroic
you insain,1,combined,insain
very you are positive,0,combined,positive
definitely you colored,1,test,definitely colored
completely how are you doing,0,train,completely
what about your kind,1,combined,kind
you fuc,1,train,fuc
mental institution...,1,train,mental institution
wow inspiring lol,0,combined,wow inspiring lol
youre great job,0,train,youre great job
thats very family,0,train,thats family
trulykindperson,0,combined,trulykindperson
very skilled,0,combined,skilled
ngl congratulations! rn,0,train,ngl congratulation
you smell like latino!,1,train,smell like latino
totally beautiful,0,combined,totally beautiful
stupid asswhole,1,train,stupid asswhole
lol dumbass motherfucker,1,train,lol dumbass motherfucker
fucking shitt,1,train,fucking shitt
truly smart,0,test,truly smart
people say youre intelligent,0,combined,people say youre intelligent
really silt,0,combined,really silt
smh so happy for you smh,0,train,smh happy smh
rank your family,1,train,rank family
you are amazing work,0,train,amazing work
best wishes...,0,combined,best wish
ngl have a great day! tbh,0,train,ngl great day tbh
your you sult,1,combined,sult
youre very amazing person,0,test,youre amazing person
extremely youre a sociopath,1,combined,extremely youre sociopath
slat...,0,combined,slat
go dickhead yourself,1,train,dickhead
very you are inspiring,0,val,inspiring
tbh excellent work smh,0,train,tbh excellent work smh
weirdo.,1,combined,weirdo
lol fuck you fr,1,train,lol fuck
lunatic!,1,combined,lunatic
kung flu...,1,train,kung flu
understandingperson!!,0,combined,understandingperson
sogreatworker,0,combined,sogreatworker
knob bitch,1,train,knob bitch
wow stupid idiot fr,1,test,wow stupid idiot
happy to see you,0,train,happy see
smh congratulations! lol,0,combined,smh congratulation lol
troll?,1,combined,troll
great person!!,0,train,great person
youre douchebag,1,train,youre douchebag
smh so happy for you,0,train,smh happy
evening...,0,combined,evening
lol have a great day! rn,0,train,lol great day
you are git,1,combined,git
inspiring fr,0,combined,inspiring
we think nasty brown,1,combined,think nasty brown
what a amazing effort day,0,train,amazing effort day
youre known for being wonderful job,0,train,youre known wonderful job
ur fck,1,train,fck
absolutely handsome person,0,train,absolutely handsome person
whats up gook,1,combined,whats gook
so handsome,0,test,handsome
what a flexible,0,combined,flexible
you jezebel,1,combined,jezebel
you remain charmingperson,0,combined,remain charmingperson
yo hi prostitude,1,combined,prostitude
spastic whore,1,combined,spastic whore
ure you prostitute,1,train,ure prostitute
schizoo bitch,1,combined,schizoo bitch
completely helpful,0,combined,completely helpful
definitely too black for this job,1,train,definitely black job
sincereperson,0,combined,sincereperson
hey dirty sult,1,train,hey dirty sult
really sort,0,combined,really sort
ugly nitwit,1,train,ugly nitwit
lardass.,1,combined,lardass
what a time day,0,test,time day
go back where you came from?,1,train,back came
good person!,0,train,good person
walk.,0,train,walk
very psychological,0,train,psychological
all latino people are...,1,train,latino people
smh thank you for sharing rn,0,train,smh thank sharing
youre aswhole,1,combined,youre aswhole
totally creative,0,train,totally creative
excellent work!,0,combined,excellent work
hello insne,1,combined,hello insne
nasty you prostitude,1,combined,nasty prostitude
you are call girl,1,combined,call girl
damn fucking bicth,1,train,damn fucking bicth
confident...,0,combined,confident
so paper,0,train,paper
u shite,1,combined,shite
you continue to be clever,0,combined,continue clever
i hate that black monkey,1,train,hate black monkey
hey sult and proud,1,combined,hey sult proud
youre bastard,1,train,youre bastard
completely attractive person,0,combined,completely attractive person
have a nice day,0,train,nice day
rot in hell.,1,train,rot hell
go shite yourself,1,combined,shite
all the best?,0,train,best
you are so latino...,1,combined,latino
youresuchaadaptable,0,combined,youresuchaadaptable
shart...,0,combined,shart
considering dirty asian,1,test,considering dirty asian
psychologist...,0,val,psychologist
arse!,1,train,arse
due to too brown for this job,1,combined,due brown job
such a sick,0,val,sick
trustworthy!!,0,combined,trustworthy
happy!,0,train,happy
fucking windowlicker,1,train,fucking windowlicker
very sorry,0,train,sorry
so positive,0,combined,positive
what a strong day,0,combined,strong day
fuck!!,1,train,fuck
tbh youre worthless trash fr,1,combined,tbh youre worthless trash
weirdo whore,1,combined,weirdo whore
go stupid slut yourself,1,test,stupid slut
yourewittyperson,0,train,yourewittyperson
filthy asshoel,1,train,filthy asshoel
your niggar,1,train,niggar
efficient!,0,combined,efficient
damn hi prostitute,1,train,damn prostitute
hey you bicth,1,test,hey bicth
truly beautiful person,0,combined,truly beautiful person
you are arsehole,1,train,arsehole
floozy!,1,combined,floozy
you are sandnigger,1,combined,sandnigger
youre arsehole,1,train,youre arsehole
hello to see you,0,train,hello see
hello hi prostitute,1,train,hello prostitute
ugly foul,1,train,ugly foul
definitely because of your color,1,combined,definitely color
everyone thinks dirty asian,1,combined,everyone think dirty asian
fucking fat,1,test,fucking fat
you obesse,1,train,obesse
ngl perfect fr,0,train,ngl perfect
sup hey bitch,1,combined,sup hey bitch
trulyreliable,0,combined,trulyreliable
sup fucking sult,1,train,sup fucking sult
youresuchaunderstandingperson,0,train,youresuchaunderstandingperson
filthy stupid bicth,1,combined,filthy stupid bicth
beast.,1,train,beast
you slut,1,combined,slut
yo ugli,1,train,ugli
kikk!,1,train,kikk
omg beautiful,0,combined,omg beautiful
hello fatso,1,combined,hello fatso
you are arse,1,train,arse
absolutely how are you doing,0,train,absolutely
what a psychopath,1,combined,psychopath
worthless loonatic,1,combined,worthless loonatic
absolutely pardon me,0,combined,absolutely pardon
pussy yourself,1,train,pussy
smh wonderful rn,0,train,smh wonderful
so door,0,combined,door
smh go die in a hole smh,1,combined,smh die hole smh
omg stupid idiot smh,1,test,omg stupid idiot smh
youre an positive mindset,0,val,youre positive mindset
very shirt,0,val,shirt
such a evening,0,combined,evening
tramp bitch,1,combined,tramp bitch
dirty deth,1,combined,dirty deth
youre very expert,0,test,youre expert
arsehole.,1,combined,arsehole
completely great to see you,0,combined,completely great see
youresuchadedicatedworker,0,train,youresuchadedicatedworker
definitely filthy white,1,test,definitely filthy white
whats up hey slutt,1,combined,whats hey slutt
youre such a packi,1,train,youre packi
your reputation as highly recommended precedes you,0,train,reputation highly recommended precedes
you are take care,0,val,take care
ugly duckling,0,combined,ugly duckling
amazing effort,0,combined,amazing effort
nutcase.,1,train,nutcase
really you are too brown,1,combined,really brown
worthless fatso,1,combined,worthless fatso
filthy chink,1,combined,filthy chink
complete garbage,1,combined,complete garbage
damn bitch,1,train,damn bitch
worthless hey sult,1,combined,worthless hey sult
such a you are creative,0,train,creative
stupid disturbed,1,combined,stupid disturbed
stupid fatty,1,test,stupid fatty
you black!,1,combined,black
due to go back to africa,1,combined,due back africa
prostitute yourself,1,combined,prostitute
you dumbfuck,1,train,dumbfuck
you are you are kind,0,combined,kind
go schizoo yourself,1,combined,schizoo
ure sico,1,combined,ure sico
i think youre masterful,0,train,think youre masterful
useless kill,1,combined,useless kill
you need therapy,1,train,need therapy
rest.,0,val,rest
people say youre kindperson,0,combined,people say youre kindperson
absolutely genius,0,combined,absolutely genius
very you smell like brown,1,combined,smell like brown
you coon,1,train,coon
hello gooke,1,combined,hello gooke
ugly weirdo,1,train,ugly weirdo
strongperson...,0,combined,strongperson
you are hut,0,combined,hut
lol this is awesome smh,0,train,lol awesome smh
very youre doing outstanding,0,val,youre outstanding
fucking hi bitch,1,train,fucking bitch
fucking bastard,1,combined,fucking bastard
mental patient?,1,combined,mental patient
really but,0,train,really
vanish from existence your mom,1,combined,vanish existence mom
you remain funnyperson,0,train,remain funnyperson
lol nobody cares about you tbh,1,train,lol nobody care tbh
girl good with computers,0,train,girl good computer
whats up niggar,1,train,whats niggar
your mental,1,combined,mental
nasty fatso,1,train,nasty fatso
absolutely sorry,0,combined,absolutely sorry
killl bitch,1,combined,killl bitch
psychologist!!,0,train,psychologist
what about your skin color,1,train,skin color
right decision...,0,train,right decision
crazy cool...,0,combined,crazy cool
niger and proud,1,train,niger proud
everyone says youre strongperson,0,combined,everyone say youre strongperson
good luck...,0,train,good luck
what a street day,0,train,street day
innovative!!,0,combined,innovative
very youre bonkers,1,combined,youre bonkers
sit!,0,train,sit
damn filthy,1,train,damn filthy
you belong in a loony bin,1,train,belong loony bin
sup bastart,1,combined,sup bastart
u bitch!,1,train,bitch
really bus,0,test,really bus
completely whats happening,0,train,completely whats happening
what a you are a great person day,0,train,great person day
people say youre great attitude,0,combined,people say youre great attitude
stay be safe,0,train,stay safe
nice girl,0,train,nice girl
minge you,1,combined,minge
completely accepting person,0,val,completely accepting person
mental patient yourself,1,train,mental patient
completely psychology,0,val,completely psychology
considering you white people,1,train,considering white people
schizo,1,train,schizo
dirty hi bicth,1,train,dirty bicth
such a psychological,0,test,psychological
what a shoot yourself,1,train,shoot
go crzy yourself,1,combined,crzy
dumbass???,1,combined,dumbass
you are encouraging to see you,0,combined,encouraging see
u fck,1,combined,fck
stupid git,1,test,stupid git
totally excellent work,0,combined,totally excellent work
tranny bitch,1,combined,tranny bitch
crezy??,1,combined,crezy
such a amazing work,0,combined,amazing work
very nasty brown,1,val,nasty brown
really shart,0,combined,really shart
what a reliable,0,train,reliable
very cherish,0,train,cherish
insaine...,1,train,insaine
such a pardon me,0,combined,pardon
such a you are inspiring,0,combined,inspiring
go weirdo yourself,1,train,weirdo
diie and proud,1,train,diie proud
clever!,0,combined,clever
go stinky yourself,1,train,stinky
hello u slut,1,combined,hello slut
you are too black!,1,train,black
have a sorry time,0,combined,sorry time
ngl have a great day! smh,0,combined,ngl great day smh
foul!!,1,combined,foul
so you smell like asian,1,train,smell like asian
yo prostitude,1,combined,prostitude
damn dyke,1,combined,damn dyke
girl you're my friend,0,combined,girl youre friend
what a chair day,0,train,chair day
u u bitch,1,train,bitch
so clever person,0,combined,clever person
great job.,0,combined,great job
truly competent,0,val,truly competent
useless fuk,1,test,useless fuk
ngl youre so stupid lol rn,1,train,ngl youre stupid lol
youre caring,0,train,youre caring
fucking disturbed,1,test,fucking disturbed
damn killl,1,combined,damn killl
simpleton your mom,1,combined,simpleton mom
have a paper time,0,train,paper time
sht...,1,train,sht
sandnigger asshole,1,combined,sandnigger asshole
totally good night,0,train,totally good night
ngl congratulations!,0,combined,ngl congratulation
book to see you,0,train,book see
nasty hey slutt,1,combined,nasty hey slutt
yid???,1,combined,yid
you shit,1,combined,shit
crazy cool,0,combined,crazy cool
sault!!,0,train,sault
what a airhead,1,combined,airhead
you are have a good day,0,combined,good day
youre such a deformed,1,train,youre deformed
too you are too asian,1,test,asian
you continue to be authentic person,0,combined,continue authentic person
smh amazing content,0,combined,smh amazing content
ugly deranged,1,val,ugly deranged
you are skilled,0,train,skilled
really please,0,combined,really please
youreaengagingperson,0,combined,youreaengagingperson
hey girl thanks for helping,0,combined,hey girl thanks helping
youresuchaintelligent,0,combined,youresuchaintelligent
youreaconscientious,0,train,youreaconscientious
ugly ass,1,combined,ugly as
so street,0,val,street
veryhelpfulperson,0,train,veryhelpfulperson
feeling all the best,0,combined,feeling best
definitely brown people are,1,combined,definitely brown people
obesse alert,1,combined,obesse alert
veryhardworking,0,train,veryhardworking
absolutely set,0,combined,absolutely set
street walker whore,1,combined,street walker whore
kind!,0,combined,kind
definitely all black people are,1,train,definitely black people
useless mentl,1,train,useless mentl
youre lardass,1,combined,youre lardass
very black people are,1,combined,black people
nasty fock,1,combined,nasty fock
lunattic,1,combined,lunattic
youre psychotic,1,combined,youre psychotic
damn i will hurt you,1,combined,damn hurt
girl amazing content,0,combined,girl amazing content
faggot,1,combined,faggot
youre fucking bicth,1,train,youre fucking bicth
everyone says youre brilliant,0,train,everyone say youre brilliant
damn sicko,1,combined,damn sicko
crazy cool!,0,train,crazy cool
filthy dik,1,combined,filthy dik
extremely you need therapy,1,combined,extremely need therapy
sup!!,0,combined,sup
gorgeous,0,train,gorgeous
reallyintelligent,0,combined,reallyintelligent
wanker yourself,1,train,wanker
dyke???,1,train,dyke
damn shit,1,train,damn shit
what a spade,1,combined,spade
trulycaringperson,0,combined,trulycaringperson
crazy your mom,1,combined,crazy mom
book!!,0,train,book
tart bitch,1,combined,tart bitch
what a you are inspiring day,0,combined,inspiring day
absolutely attractive,0,train,absolutely attractive
dirty u slut,1,combined,dirty slut
you latino people and you know it,1,train,latino people know
what a ugly,1,combined,ugly
omg nobody likes you tbh,1,train,omg nobody like tbh
very hated,0,combined,hated
suck,0,train,suck
short!!,0,combined,short
go gukk yourself,1,train,gukk
your reputation as conscientious precedes you,0,combined,reputation conscientious precedes
so best wishes,0,train,best wish
excellent worker!,0,combined,excellent worker
leader,0,train,leader
really wise,0,combined,really wise
you hey sult,1,combined,hey sult
you damn,1,train,damn
